physician_id,urban_population_perc_in_physician_locality,percent_population_with_health_insurance_in_last10q,physician_gender,physician_tenure,physician_age,physician_speciality
252,1,0.1,M,45,70,nephrology
253,0.98,0.98,M,48,77,nephrology
254,1,0.94,M,51,76,nephrology
255,1,0.96,M,51,84,nephrology
256,1,0.88,M,46,76,nephrology
257,1,0.98,F,47,72,nephrology
258,1,0.9,M,52,77,nephrology
259,0.97,0.9,M,47,72,nephrology
260,0.75,0.92,M,48,75,nephrology
261,0.69,0.91,M,47,77,other
262,1,0.59,M,43,70,other
263,1,0.32,M,42,66,other
264,1,0.96,M,41,68,nephrology
265,0.96,0.96,M,40,66,nephrology
266,1,0.26,M,40,73,nephrology
267,1,0.92,M,47,75,nephrology
268,0.87,0.04,M,48,70,nephrology
269,1,0.56,M,48,71,urology
270,1,0.57,M,60,85,nephrology
271,0.82,0.94,M,47,70,nephrology
272,1,0.23,M,52,74,nephrology
273,1,0.04,M,55,79,nephrology
274,0.87,0.88,M,61,89,nephrology
275,1,0.91,F,51,75,urology
276,1,0.85,F,46,71,other
277,0.79,0.89,M,45,72,nephrology
278,0.74,0.96,F,47,72,nephrology
279,0.98,0.96,F,55,80,nephrology
280,0.96,0.17,M,53,84,nephrology
281,1,0.13,F,40,64,nephrology
282,1,0.86,F,47,71,nephrology
283,1,0.06,F,46,71,nephrology
284,1,0.39,M,62,86,nephrology
285,0.93,0.97,M,45,69,nephrology
286,0.38,0.93,M,48,74,nephrology
287,1,0.95,M,46,71,nephrology
288,1,0.6,M,46,73,other
289,0.96,0.76,M,44,69,nephrology
290,1,0.97,M,39,63,nephrology
291,0.97,0.93,M,51,76,nephrology
292,0.97,0.48,F,40,64,other
293,1,0.92,M,47,76,nephrology
294,1,0.97,F,47,74,nephrology
295,1,0.95,M,48,74,nephrology
296,1,1,M,52,76,other
297,0.83,0.05,M,36,64,nephrology
298,1,0.17,M,48,70,nephrology
299,1,0.92,F,37,63,nephrology
300,1,0.96,F,47,74,other
301,1,0.77,M,47,70,urology
302,1,0.72,F,50,73,nephrology
303,1,0.95,M,48,75,nephrology
304,0.96,0.93,M,51,76,nephrology
305,0.96,0.96,M,42,68,other
306,1,0.98,M,44,69,nephrology
307,1,0.86,M,46,76,nephrology
308,0.75,0.96,M,56,84,nephrology
309,1,0.99,M,60,85,nephrology
310,0.95,0.97,M,37,62,other
311,1,0.93,M,46,71,nephrology
312,1,0.94,F,38,68,nephrology
313,0.84,0.95,M,47,73,urology
314,0.83,0.92,M,40,66,nephrology
315,1,0.88,M,52,78,other
316,0.99,0.87,M,49,75,nephrology
317,0.74,0.84,M,48,75,nephrology
318,0.99,0.83,M,52,76,nephrology
319,1,0.81,M,52,77,nephrology
320,1,0.84,M,55,80,nephrology
321,1,0.84,M,37,66,nephrology
322,1,0.85,M,49,75,nephrology
323,1,0.83,M,51,77,nephrology
324,1,0.87,M,49,74,nephrology
325,1,0.79,M,59,84,nephrology
326,1,0.87,M,41,66,nephrology
327,0.92,0.85,M,55,83,nephrology
328,1,0.95,F,42,68,nephrology
329,1,0.97,M,42,68,other
330,0.65,0.88,M,40,74,nephrology
331,0.92,0.96,M,37,64,nephrology
332,1,0.9,M,44,69,nephrology
333,0.84,0.91,M,36,63,other
334,0.93,0.8,M,42,68,nephrology
335,0.9,0.81,M,43,71,other
336,0,0.91,M,47,73,other
337,1,0.88,M,42,68,nephrology
338,0.97,0.95,F,38,63,other
339,0.98,0.87,M,52,77,nephrology
340,0,0.91,F,37,64,other
341,1,0.94,M,53,80,nephrology
342,1,0.52,M,59,81,nephrology
343,1,0.91,M,36,67,urology
344,0.98,0.3,M,56,80,other
345,0.87,0.36,M,38,62,other
346,0.42,0.95,F,51,72,nephrology
347,1,0.46,M,50,74,nephrology
348,1,0.19,M,43,67,other
349,0.99,0.16,F,50,73,nephrology
350,1,0.01,M,42,70,nephrology
351,1,0.91,M,42,66,other
352,0.94,0.96,M,39,68,other
353,0.85,0.54,M,52,76,nephrology
354,1,0.81,M,54,77,nephrology
355,1,0.45,M,40,66,nephrology
356,0.98,0.06,M,36,65,other
357,0.9,0.59,M,43,69,other
358,1,0.03,F,43,67,nephrology
359,1,0.98,F,37,64,nephrology
360,1,0.55,M,37,70,nephrology
361,1,0.19,M,49,73,nephrology
362,0.72,0.16,M,38,64,other
363,0.82,0.93,M,50,73,nephrology
364,0.99,0.03,M,42,70,nephrology
365,1,0.08,M,41,66,other
366,0.85,0.18,M,36,62,nephrology
367,0.76,0.03,M,36,63,nephrology
368,1,0.21,M,49,76,nephrology
369,1,0.52,M,47,74,nephrology
370,1,0.33,F,41,69,nephrology
371,0.87,0.21,M,38,64,nephrology
372,0.29,0.38,M,44,71,other
373,1,0.44,F,64,88,nephrology
374,1,0.46,F,51,76,nephrology
375,1,0.1,M,51,76,nephrology
376,0.32,0.84,M,48,74,nephrology
377,1,0.02,M,37,62,urology
378,1,0.56,M,53,79,other
379,1,0.03,M,39,64,other
380,0.91,0.38,M,45,72,nephrology
381,1,0.24,M,39,63,nephrology
382,1,0.4,F,36,66,other
383,0.95,0.3,M,42,68,other
384,1,0.09,M,49,74,nephrology
385,1,0.45,M,38,66,nephrology
386,1,0.05,M,38,64,nephrology
387,0.7,0.5,M,49,76,nephrology
388,0.84,0.12,M,53,82,nephrology
389,1,0.01,M,46,71,other
390,0.94,0.93,M,46,72,other
391,0.89,0.07,M,39,64,nephrology
392,1,0.33,M,54,79,nephrology
393,1,0.53,M,47,72,other
394,1,0.59,M,41,66,other
395,1,0.82,M,37,64,nephrology
396,1,0.46,M,57,78,nephrology
397,1,0.56,M,51,75,nephrology
398,1,0.43,F,60,83,nephrology
399,1,0.42,M,52,77,nephrology
400,0.99,0.49,M,47,77,nephrology
401,1,0.25,M,43,68,other
402,1,0.55,M,44,74,nephrology
403,1,0.26,M,48,74,nephrology
404,1,0.57,M,43,69,other
405,1,0.36,M,36,62,other
406,1,0.07,M,58,83,nephrology
407,1,0.08,M,58,84,nephrology
408,1,0.51,M,48,74,nephrology
409,1,0.59,F,46,72,nephrology
410,1,0.53,M,47,69,nephrology
411,1,0.57,M,37,67,other
412,1,0.34,M,53,77,other
413,1,0.58,M,39,70,nephrology
414,1,0.56,M,45,72,other
415,1,0.14,M,49,75,other
416,1,0.6,F,38,65,nephrology
417,0.74,0.19,M,43,72,urology
418,0.76,0.33,M,59,85,nephrology
419,1,0.48,M,42,74,nephrology
420,1,0.12,M,46,73,urology
421,1,0.04,M,49,77,nephrology
422,1,0.4,M,53,80,other
423,1,0.15,M,48,74,nephrology
424,1,0.89,M,42,69,nephrology
425,1,0.97,M,48,72,nephrology
426,1,0.96,F,43,73,nephrology
427,1,0.57,M,43,69,nephrology
428,1,0.99,F,43,67,nephrology
429,1,0.97,M,40,68,other
430,1,0.97,M,43,70,nephrology
431,1,0.96,M,41,68,nephrology
432,1,0.91,F,41,66,nephrology
433,1,0.96,M,38,64,nephrology
434,1,0.98,M,48,73,nephrology
435,1,0.99,M,46,73,nephrology
436,1,0.97,M,46,73,urology
437,1,0.83,F,41,67,nephrology
438,1,0.86,M,45,67,nephrology
439,1,0.85,M,38,66,nephrology
440,0.71,0.95,F,42,71,nephrology
441,1,0.96,F,49,72,nephrology
442,0.97,0.93,M,39,67,nephrology
443,1,0.9,M,40,70,nephrology
444,1,0.83,M,39,66,other
445,0.97,0.97,F,40,66,nephrology
446,0.98,0.94,F,44,71,nephrology
447,0.99,0.92,M,38,65,other
448,1,0.97,F,41,67,other
449,0.99,0.35,M,45,71,nephrology
450,1,0.94,M,39,73,nephrology
451,1,0.93,M,47,72,nephrology
452,1,0.95,M,40,66,nephrology
453,1,0.92,M,41,67,nephrology
454,1,0.9,M,38,64,other
455,0.97,0.91,F,43,67,nephrology
456,0.81,0.91,M,49,73,nephrology
457,0.93,0.97,M,40,66,nephrology
458,1,0.75,F,41,67,nephrology
459,0.93,0.97,F,38,64,nephrology
460,0.99,0.91,M,43,69,nephrology
461,1,0.95,F,43,68,nephrology
462,0.96,0.96,M,37,62,nephrology
463,1,0.79,M,40,66,nephrology
464,1,0.96,M,49,73,nephrology
465,1,0.96,M,43,68,nephrology
466,1,0.98,M,39,65,nephrology
467,1,0.95,M,43,73,nephrology
468,1,0.94,M,44,73,nephrology
469,0.61,0.95,M,43,68,nephrology
470,1,0.95,M,39,67,nephrology
471,1,0.96,M,45,71,nephrology
472,0.91,0.96,F,43,67,nephrology
473,1,0.95,M,45,70,nephrology
474,1,0.97,M,39,65,nephrology
475,1,0.95,F,42,68,nephrology
476,1,0.82,M,42,71,nephrology
477,0.98,0.81,F,45,71,nephrology
478,1,0.43,M,46,72,nephrology
479,1,0.95,M,43,69,nephrology
480,1,0.96,M,42,68,nephrology
481,1,0.97,F,42,66,nephrology
482,1,0.08,M,43,67,nephrology
483,0.86,0.93,M,39,62,nephrology
484,1,0.9,M,40,66,nephrology
485,1,0.93,M,44,71,nephrology
486,1,0.8,M,44,68,nephrology
487,1,0.98,M,41,71,nephrology
488,0.82,0.91,M,41,68,nephrology
489,1,0.93,M,38,64,nephrology
490,1,0.97,M,42,68,other
491,1,0.89,M,44,70,urology
492,0.79,0.96,F,39,65,nephrology
493,0.94,0.96,M,41,67,urology
494,0.82,0.95,M,39,64,urology
495,1,0.44,M,45,71,nephrology
496,1,0.93,M,40,67,nephrology
497,0.94,0.96,M,37,63,nephrology
498,1,0.92,M,45,71,nephrology
499,0.89,0.91,M,40,64,nephrology
500,0.99,0.94,M,47,72,nephrology
501,1,0.85,F,41,69,nephrology
502,0.99,0.97,M,44,70,nephrology
503,0.67,0.91,F,39,65,urology
504,1,0.97,M,41,67,nephrology
505,1,0.97,M,43,69,nephrology
506,0.77,0.93,M,38,68,nephrology
507,1,0.97,M,43,69,nephrology
508,0.97,0.6,M,39,65,nephrology
509,0.84,0.2,M,38,66,nephrology
510,1,0.85,M,42,69,nephrology
511,1,0.98,M,43,67,urology
512,1,0.97,M,42,68,other
513,1,0.97,M,46,72,nephrology
514,1,0.93,M,42,68,nephrology
515,1,0.35,F,39,65,nephrology
516,1,0.94,M,45,71,nephrology
517,1,0.98,M,40,67,nephrology
518,1,0.98,M,41,70,nephrology
519,0.91,0.93,M,40,71,nephrology
520,1,0.98,M,46,72,nephrology
521,0.86,0.96,M,43,69,nephrology
522,1,0.97,M,41,65,nephrology
523,1,0.03,M,36,63,nephrology
524,1,0.9,F,38,63,nephrology
525,1,0.91,M,45,71,nephrology
526,1,0.93,M,48,71,nephrology
527,1,0.95,M,48,73,nephrology
528,1,0.93,M,39,66,nephrology
529,1,0.94,M,44,70,nephrology
530,1,0.94,M,41,67,urology
531,1,0.94,M,43,67,nephrology
532,0.96,0.91,M,41,71,nephrology
533,1,0.95,M,46,72,nephrology
534,1,0.95,M,45,69,nephrology
535,0.98,0.92,M,45,71,nephrology
536,1,0.87,M,44,70,nephrology
537,1,0.94,M,41,66,nephrology
538,0.98,0.81,M,39,65,nephrology
539,0.95,0.9,M,48,73,nephrology
540,0.97,0.94,F,46,67,nephrology
541,1,0.93,M,46,72,nephrology
542,0.99,0.98,M,48,73,urology
543,0.99,0.98,M,46,70,nephrology
544,1,0.85,M,46,72,nephrology
545,1,0.94,M,46,73,nephrology
546,0.95,0.87,M,42,69,nephrology
547,0.72,0.92,M,46,72,nephrology
548,0.83,0.93,M,44,71,nephrology
549,1,0.91,M,37,63,nephrology
550,1,0.84,M,48,70,nephrology
551,1,0.84,M,47,73,nephrology
552,1,0.84,M,38,67,nephrology
553,0.99,0.88,M,40,67,nephrology
554,1,0.92,M,46,72,other
555,0,0.78,M,45,70,nephrology
556,1,0.84,M,47,73,nephrology
557,1,0.88,M,37,60,nephrology
558,1,0.88,M,44,72,nephrology
559,1,0.82,M,37,64,urology
560,0.87,0.95,M,38,68,nephrology
561,0.69,0.89,M,43,69,nephrology
562,1,0.75,M,47,69,nephrology
563,1,0.9,M,40,68,nephrology
564,1,0.9,M,44,72,nephrology
565,1,0.82,M,47,73,nephrology
566,0.83,0.88,F,21,46,other
567,1,0.23,M,38,71,nephrology
568,0.59,0.92,F,44,70,nephrology
569,0.94,0.96,M,42,68,nephrology
570,1,0.17,M,46,70,nephrology
571,0.76,0.94,M,37,69,nephrology
572,1,0.88,M,38,64,nephrology
573,1,0.94,F,38,65,nephrology
574,0.78,0.92,M,44,68,nephrology
575,1,0.92,M,44,70,nephrology
576,0.68,0.9,M,41,66,other
577,1,0.91,M,44,70,nephrology
578,1,0.86,F,43,69,nephrology
579,1,0.74,M,42,68,nephrology
580,1,0.75,M,46,72,nephrology
581,0.99,0.87,M,45,71,nephrology
582,1,0.91,M,44,70,nephrology
583,1,0.89,M,41,67,nephrology
584,1,0.94,M,40,66,nephrology
585,1,0.92,M,47,73,nephrology
586,1,0.93,M,40,65,nephrology
587,1,0.94,M,39,66,nephrology
588,1,0.94,M,41,67,nephrology
589,1,0.76,M,39,65,nephrology
590,1,0.94,M,44,72,nephrology
591,0.96,0.87,M,43,69,nephrology
592,1,0.9,M,38,72,nephrology
593,0.49,0.84,F,39,66,urology
594,0.84,0.91,M,43,68,nephrology
595,0.99,0.83,M,46,72,nephrology
596,1,0.89,M,45,71,nephrology
597,0.95,0.89,M,41,66,nephrology
598,0.93,0.88,M,37,67,nephrology
599,1,0.8,M,44,71,nephrology
600,1,0.76,M,45,71,nephrology
601,1,0.67,M,39,65,nephrology
602,1,0.89,M,45,70,nephrology
603,1,0.94,M,41,65,nephrology
604,1,0.87,M,46,71,urology
605,1,0.75,F,46,70,nephrology
606,1,0.88,M,42,69,nephrology
607,1,0.89,M,38,72,nephrology
608,1,0.85,M,44,67,nephrology
609,1,0.9,F,44,69,nephrology
610,1,0.44,M,38,61,nephrology
611,0.97,0.95,F,41,67,nephrology
612,0,0.89,M,38,64,other
613,1,0.92,M,37,63,nephrology
614,0.92,0.9,M,41,66,nephrology
615,0.97,0.9,M,42,67,nephrology
616,0.88,0.86,M,37,66,other
617,0.95,0.9,M,41,67,nephrology
618,0.83,0.81,M,38,70,nephrology
619,1,0.93,M,65,90,nephrology
620,1,0.93,M,46,72,nephrology
621,1,0.93,M,40,72,nephrology
622,0.85,0.92,F,46,71,nephrology
623,0.94,0.98,M,47,71,nephrology
624,0.95,0.98,F,46,71,nephrology
625,1,0.92,F,49,72,nephrology
626,1,0.93,M,40,66,nephrology
627,1,0.92,F,49,73,nephrology
628,1,0.83,M,37,64,nephrology
629,0.84,0.91,M,47,73,nephrology
630,1,0.88,F,46,70,nephrology
631,1,0.93,M,47,72,nephrology
632,1,0.91,M,38,68,nephrology
633,0.99,0.94,M,46,73,nephrology
634,1,0.96,F,47,73,nephrology
635,1,0.97,F,44,70,nephrology
636,0.97,0.96,F,45,72,nephrology
637,1,0.92,M,43,70,nephrology
638,0.91,0.94,M,37,63,other
639,1,0.85,M,46,72,nephrology
640,0.79,0.89,M,41,64,nephrology
641,1,0.76,M,41,68,nephrology
642,0.86,0.88,M,45,71,nephrology
643,0.65,0.91,M,37,72,other
644,0.66,0.9,M,45,71,other
645,1,0.83,M,42,67,nephrology
646,1,0.9,F,49,71,nephrology
647,0.96,0.56,M,46,69,nephrology
648,1,0.97,M,45,69,nephrology
649,1,0.92,M,45,71,nephrology
650,1,0.9,M,45,71,other
651,1,0.96,M,48,73,nephrology
652,1,0.86,M,50,73,nephrology
653,1,0.9,F,45,69,nephrology
654,1,0.89,M,44,68,nephrology
655,1,0.9,F,48,72,nephrology
656,1,0.88,M,47,73,other
657,1,0.6,F,45,68,nephrology
658,0.99,0.93,M,43,67,nephrology
659,0.89,0.48,M,43,68,nephrology
660,0.83,0.87,M,46,70,nephrology
661,1,0.16,M,42,69,nephrology
662,0.64,0.47,M,41,67,nephrology
663,0.93,0.85,M,45,69,other
664,0.83,0.06,M,37,64,nephrology
665,1,0.13,M,43,67,nephrology
666,1,0.31,M,47,73,nephrology
667,1,0.58,F,49,73,nephrology
668,1,0.15,M,43,69,nephrology
669,1,0.52,M,49,73,nephrology
670,1,0.22,M,47,72,nephrology
671,1,0.21,M,38,64,nephrology
672,0.99,0.2,M,39,65,nephrology
673,1,0.33,M,41,72,nephrology
674,1,0.32,M,43,69,nephrology
675,1,0.45,M,43,69,nephrology
676,0.91,0.27,M,37,64,nephrology
677,0.9,0.12,M,45,71,nephrology
678,1,0.08,M,41,69,nephrology
679,1,0.4,M,40,66,urology
680,1,0.27,M,45,71,nephrology
681,0.99,0.09,M,45,71,nephrology
682,1,0.56,M,40,66,nephrology
683,1,0.51,M,42,67,nephrology
684,1,0.29,M,42,67,nephrology
685,1,0.28,M,46,72,nephrology
686,1,0.32,M,40,65,nephrology
687,1,0.08,M,47,71,nephrology
688,1,0.34,F,41,65,nephrology
689,1,0.59,M,46,72,nephrology
690,1,0.56,M,49,72,nephrology
691,1,0.19,M,46,68,nephrology
692,1,0.06,M,37,62,nephrology
693,1,0.38,M,40,68,nephrology
694,0.67,0.51,F,37,65,nephrology
695,1,0.45,M,46,71,nephrology
696,0.91,0.55,M,49,73,nephrology
697,1,0.23,M,41,66,nephrology
698,0.67,0.2,F,42,68,nephrology
699,1,0.3,M,43,69,nephrology
700,1,0.37,M,49,72,nephrology
701,1,0.41,M,45,71,other
702,1,0.46,M,46,72,nephrology
703,1,0.98,M,46,72,nephrology
704,1,0.36,M,40,67,urology
705,0.91,0.03,F,48,72,nephrology
706,0.68,0.78,M,42,68,other
707,0.8,0.9,M,37,63,nephrology
708,1,0.84,M,39,66,nephrology
709,1,0.28,F,42,67,nephrology
710,1,0.47,M,47,73,nephrology
711,1,0.29,F,38,68,nephrology
712,1,0.51,F,42,70,nephrology
713,1,0.21,F,46,71,other
714,0.63,0.04,M,46,72,nephrology
715,0.78,0.17,M,40,67,nephrology
716,0.76,0.54,M,39,66,other
717,0.74,0.35,M,45,72,nephrology
718,1,0.54,M,41,66,nephrology
719,0.67,0.33,F,45,69,nephrology
720,0.63,0.26,F,39,65,nephrology
